,State_code,state,Trump_votes,Trump_percent,Biden_votes,Biden_percent
0,AL,Alabama,"1,441,170",62.2,"849,624",36.7
1,AK,Alaska,"189,543",53.1,"153,502",43.0
2,AZ,Arizona,"1,661,686",49.1,"1,672,143",49.4
3,AR,Arkansas,"760,647",62.4,"423,932",34.8
4,CA,California,"5,982,194",34.3,"11,082,293",63.5
5,CO,Colorado,"1,364,471",41.9,"1,804,196",55.4
6,CT,Connecticut,"715,291",39.2,"1,080,680",59.3
7,DE,Delaware,"200,603",39.8,"296,268",58.8
8,FL,Florida,"5,668,731",51.2,"5,297,045",47.9
9,GA,Georgia,"2,461,837",49.3,"2,474,507",49.5
10,HI,Hawaii,"196,602",34.3,"365,802",63.7
11,ID,Idaho,"554,128",63.9,"287,031",33.1
12,IL,Illinois,"2,438,943",40.5,"3,463,260",57.6
13,IN,Indiana,"1,729,516",57.1,"1,242,413",41.0
14,IA,Iowa,"897,672",53.2,"759,061",45.0
15,KS,Kansas,"752,933",56.5,"551,144",41.3
16,KY,Kentucky,"1,326,646",62.1,"772,474",36.2
17,LA,Louisiana,"1,255,776",58.5,"856,034",39.9
18,ME,Maine,"360,480",44.0,"434,966",53.1
19,MD,Maryland,"976,414",32.4,"1,985,023",65.8
20,MA,Massachusetts,"1,167,202",32.3,"2,382,202",65.9
21,MI,Michigan,"2,649,852",47.8,"2,804,040",50.6
22,MN,Minnesota,"1,484,065",45.4,"1,717,077",52.6
23,MS,Mississippi,"756,789",57.6,"539,508",41.1
24,MO,Missouri,"1,718,282",56.8,"1,252,902",41.4
25,MT,Montana,"343,647",56.9,"244,836",40.6
26,NE,Nebraska,"556,846",58.5,"374,583",39.4
27,NV,Nevada,"669,890",47.7,"703,486",50.1
28,NH,New Hampshire,"365,660",45.5,"424,935",52.9
29,NJ,New Jersey,"1,883,260",41.4,"2,608,327",57.3
30,NM,New Mexico,"401,894",43.5,"501,614",54.3
31,NY,New York,"3,039,466",41.1,"4,248,123",57.5
32,NC,North Carolina,"2,758,775",50.1,"2,684,292",48.7
33,ND,North Dakota,"235,595",65.5,"114,902",31.9
34,OH,Ohio,"3,154,834",53.3,"2,679,165",45.3
35,OK,Oklahoma,"1,020,280",65.4,"503,890",32.3
36,OR,Oregon,"958,448",40.7,"1,340,383",56.9
37,PA,Pennsylvania,"3,378,263",48.8,"3,459,923",50.0
38,RI,Rhode Island,"199,922",38.8,"307,486",59.7
39,SC,South Carolina,"1,385,103",55.1,"1,091,541",43.4
40,SD,South Dakota,"261,043",61.8,"150,471",35.6
41,TN,Tennessee,"1,849,556",60.7,"1,139,332",37.4
42,TX,Texas,"5,890,347",52.1,"5,259,126",46.5
43,UT,Utah,"865,140",58.2,"560,282",37.7
44,VT,Vermont,"112,704",30.8,"242,820",66.4
45,VA,Virginia,"1,962,430",44.2,"2,413,568",54.4
46,WA,Washington,"1,584,651",39.0,"2,369,612",58.4
47,DC,Washington Dc,"18,586",5.4,"317,323",93.0
48,WV,West Virginia,"545,382",68.6,"235,984",29.7
49,WI,Wisconsin,"1,610,184",48.9,"1,630,866",49.6
50,WY,Wyoming,"193,559",70.4,"73,491",26.7
